example_id,segment,channel,persona,tone,constraints_json,ideal_copy,generated_copy,violation_code,violation_desc,hashtags,eval_readability_grade,eval_tone_match,eval_compliance_ok,impressions,clicks,conversions,ctr,cvr,cpa
EX0000,Happy Dogs,TikTok,time-pressed parent,upbeat,"{'tone': 'upbeat', 'persona': 'time-pressed parent', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Quick wins for busy days. Walks and play, made comfortable. Thoughtful picks for pets. Tap to learn more. #Ad","Quick wins for busy days. Walks and play, made comfortable. Thoughtful picks for pets. Tap to learn more. #Ad",,,"#EverydayGear,#WeekendReady,#OnTheGo",7.9,0.79,1,71615,1647,59,0.023,0.0359,331.9
EX0001,Terrific Tacos,Email,time-pressed parent,playful,"{'tone': 'playful', 'persona': 'time-pressed parent', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","A simple switch for an easier week. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.","A simple switch for an easier week. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.",,,"#EverydayGear,#SmartChoice,#BurgerNight",8.1,0.96,1,103768,6178,165,0.0595,0.0268,6.7
EX0002,Urban Commuters,Instagram,pet-loving family,warm,"{'tone': 'warm', 'persona': 'pet-loving family', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Fresh picks for everyday routines. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,Fresh picks for everyday routines. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,,,"#TacoTuesday,#BurgerNight,#OnTheGo",9.2,0.76,1,133271,2513,85,0.0189,0.034,74.5
EX0003,Terrific Tacos,Email,fitness enthusiast,friendly,"{'tone': 'friendly', 'persona': 'fitness enthusiast', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","A simple switch for an easier week. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.","A simple switch for an easier week. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.",,,"#EverydayGear,#OnTheGo,#SmartChoice",9.1,0.75,1,240552,18975,759,0.0789,0.04,7.5
EX0004,Happy Dogs,Instagram,pet-loving family,playful,"{'tone': 'playful', 'persona': 'pet-loving family', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Fresh picks for everyday routines. Walks and play, made comfortable. Thoughtful picks for pets. See more in our link. #Ad","Fresh picks for everyday routines. Walks and play, made comfortable. Thoughtful picks for pets. See more in our link. #Ad",,,"#OnTheGo,#TacoTuesday,#SmartChoice",8.5,0.84,1,41214,593,36,0.0144,0.0614,422.44
EX0005,Terrific Tacos,Email,young professional,friendly,"{'tone': 'friendly', 'persona': 'young professional', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Your go-to, delivered with care. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.","Your go-to, delivered with care. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.",P-DISC,missing required disclaimer or sponsorship label,"#TacoTuesday,#EverydayGear,#OnTheGo",7.5,0.78,0,74886,7720,266,0.1031,0.0345,71.67
EX0006,Terrific Tacos,Email,fitness enthusiast,playful,"{'tone': 'playful', 'persona': 'fitness enthusiast', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Ideas to make today smoother. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.","Ideas to make today smoother. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.",,,"#BurgerNight,#WeekendReady,#PetParent",7.9,0.81,1,130199,11006,362,0.0845,0.0329,16.85
EX0007,Urban Commuters,Instagram,budget-conscious student,practical,"{'tone': 'practical', 'persona': 'budget-conscious student', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Fresh picks for everyday routines. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,Fresh picks for everyday routines. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,,,"#TacoTuesday,#SmartChoice,#EverydayGear",7.8,1.0,1,228331,3901,332,0.0171,0.0853,27.47
EX0008,Urban Commuters,Instagram,fitness enthusiast,friendly,"{'tone': 'friendly', 'persona': 'fitness enthusiast', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Little comforts that go a long way. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,Little comforts that go a long way. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,,,"#WeekendReady,#OnTheGo,#EverydayGear",8.4,0.9,1,146157,2657,127,0.0182,0.048,82.49
EX0009,Terrific Tacos,Email,young professional,upbeat,"{'tone': 'upbeat', 'persona': 'young professional', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Your go-to, delivered with care. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.","Your go-to, delivered with care. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.",,,"#PetParent,#BurgerNight,#EverydayGear",8.1,0.91,1,214847,10776,147,0.0502,0.0137,98.1
